Row,Im_id,rep_id,Category,iCategory,Var,Classifier,Features,n_units,n_repfeature,n_test,n_train,n_splits,TimeStart,TimeEnd,split,PrCat,iPrCat,Correct
0,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,0,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
1,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,1,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
2,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,2,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Chairs,3.0,0.0
3,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,3,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Chairs,3.0,0.0
4,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,4,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
5,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,5,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
6,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,6,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
7,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,7,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
8,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,8,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
9,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,9,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Chairs,3.0,0.0
10,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,10,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Boats,1.0,0.0
11,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,11,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Fruits,5.0,1.0
12,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,12,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Cars,2.0,0.0
13,82a76f0eb63ce30d9e7704232081333b7b03eab4_V6,13,Fruits,5,V6,svm.LinearSVC,IT,168,47,6016,None,1,70,170,0,Chairs,3.0,0.0
